Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t187-Haleiwa_Oahu_Hawaii.html,,,Boat Rentals in Haleiwa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t199-Haleiwa_Oahu_Hawaii.html,,,Waterskiing & Jetskiing in Haleiwa,,,,,,,,,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g57201-d282725-Reviews-Royall_Tyler_Theater-Burlington_Vermont.html,,#41 of 67 things to do in Burlington,Royall Tyler Theater,5 ,,Burlington,VT,University Place,1-802-656-2095,05405,,,,0
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c41-t185-Haleiwa_Oahu_Hawaii.html,,,Lessons & Workshops in Haleiwa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c40-t127-Haleiwa_Oahu_Hawaii.html,,,Spas in Haleiwa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t216-Haleiwa_Oahu_Hawaii.html,,,Eco Tours in Haleiwa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t263-Haleiwa_Oahu_Hawaii.html,,,Other Outdoor Activities in Haleiwa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60647-Activities-c61-t217-Haleiwa_Oahu_Hawaii.html,,,Fishing Charters & Tours in Haleiwa,,,,,,,,,,,
,,"Biking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60647-d8683055-Reviews-Ke_Ala_Pupukea_Bike_Path-Haleiwa_Oahu_Hawaii.html,,#37 of 51 things to do in Haleiwa,Ke Ala Pupukea Bike Path,3 ,,Haleiwa,HI,Kamehameha Hwy,,96712,,,,0
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g57201-d3493638-Reviews-Auer_Family_Boathouse-Burlington_Vermont.html,,#31 of 67 things to do in Burlington,Auer Family Boathouse,20 ,,Burlington,VT,3181 North Avenue,802 862-9840,05408,,,,2
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g60647-d105446-Reviews-James_Campbell_National_Wildlife_Refuge-Haleiwa_Oahu_Hawaii.html,,#40 of 51 things to do in Haleiwa,James Campbell National Wildlife Refuge,3 ,,Haleiwa,HI,66-590 Kamehameha Highway,,96712,,,,1
,,"Visitor Centers, Traveler Resources",,https://www.tripadvisor.com/Attraction_Review-g60647-d7261540-Reviews-North_Shore_O_ahu_Visitor_Center-Haleiwa_Oahu_Hawaii.html,"Located in the heart of Haleiwa, we are the North Shore's hub for visitor information and business services. Drop by and pick up maps, brochures, and unique souvenirs found only at our location! Business services include copying, faxing, internet access, and more. The North Shore Visitor & Business Services Center is run by (and also the main office for) the North Shore Chamber of Commerce, a 501(c) non-profit organization working full time to make Oahu's North Shore a better place to live, work, and play.",#31 of 51 things to do in Haleiwa,North Shore O'ahu Visitor Center,8 ,,Haleiwa,HI,66-434 B Kamehameha Hwy,+1 808-637-4558,96712,,"Mon - Fri 10:00 am - 5:00 pm , ",info@gonorthshore.org,0
,,"Flea & Street Markets, Shopping",,https://www.tripadvisor.com/Attraction_Review-g60647-d3250014-Reviews-North_Shore_Country_Market-Haleiwa_Oahu_Hawaii.html,,#33 of 51 things to do in Haleiwa,North Shore Country Market,4 ,,Haleiwa,HI,59-360 Kamehameha Hwy,,,,,,0
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c61-t186-Laguna_Beach_California.html,,,Gear Rentals in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c61-t194-Laguna_Beach_California.html,,,Scuba & Snorkeling in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c40-t260-Laguna_Beach_California.html,,,Yoga & Pilates in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c61-t184-Laguna_Beach_California.html,,,Water Sports in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c61-t60-Laguna_Beach_California.html,,,Golf Courses in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c20-t99-Laguna_Beach_California.html,,,Bars & Clubs in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c42-t204-Laguna_Beach_California.html,,,Food Tours in Laguna Beach,,,,,,,,,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g32588-d4894619-Reviews-Laguna_South_Coast_Theatre-Laguna_Beach_California.html,,#44 of 61 things to do in Laguna Beach,Laguna South Coast Theatre,9 ,,Laguna Beach,CA,162 S Coast Hwy,,92651,,,,0
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c61-t263-Laguna_Beach_California.html,,,Other Outdoor Activities in Laguna Beach,,,,,,,,,,,
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g32588-d4054288-Reviews-James_Dilley_Preserve-Laguna_Beach_California.html,,#43 of 61 things to do in Laguna Beach,James Dilley Preserve,3 ,,Laguna Beach,CA,Laguna Canyon Road,,,,"Mon - Fri 8:00 am - 5:00 pm , ",,0
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g32588-d2213169-Reviews-Steven_Lucas_Fine_Arts-Laguna_Beach_California.html,,#42 of 61 things to do in Laguna Beach,Steven Lucas Fine Arts,5 ,,Laguna Beach,CA,1945 Laguna Canyon Road,949.376.7611,92651,,,info@stevenlucasfinearts.com,0
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c42-t225-Laguna_Beach_California.html,,,Cultural Tours in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c56-t272-Laguna_Beach_California.html,,,Paint & Pottery Studios in Laguna Beach,,,,,,,,,,,
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32588-d669705-Reviews-Murphy_Smith_Historical_Bungalow-Laguna_Beach_California.html,,#40 of 61 things to do in Laguna Beach,Murphy-Smith Historical Bungalow,5 ,,Laguna Beach,CA,278 Ocean Ave,949-497-6834,92651,,,,1
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c41-t185-Laguna_Beach_California.html,,,Lessons & Workshops in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c40-t127-Laguna_Beach_California.html,,,Spas in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c26-t144-Laguna_Beach_California.html,,,Gift & Specialty Shops in Laguna Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32588-Activities-c42-t228-Laguna_Beach_California.html,,,Historical & Heritage Tours in Laguna Beach,,,,,,,,,,,
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g32588-d561802-Reviews-Richard_MacDonald_Fine_Art-Laguna_Beach_California.html,,#34 of 61 things to do in Laguna Beach,Richard MacDonald Fine Art,6 ,,Laguna Beach,CA,326 Glenneyre Street,949 497 4988,92651,,,info@richardmacdonald.com,0
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32588-d552297-Reviews-Laguna_Culinary_Arts_Academy-Laguna_Beach_California.html,,#33 of 61 things to do in Laguna Beach,Laguna Culinary Arts Academy,13 ,,Laguna Beach,CA,845 Laguna Canyon Road,949-494-4006,92651,,,,1
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g32588-d669706-Reviews-Glenn_E_Vedder_Ecological_Reserve_Underwater_Park_and_Tidepools-Laguna_Beach_Califo.html,,#32 of 61 things to do in Laguna Beach,Glenn E. Vedder Ecological Reserve - Underwater Park and Tidepools,10 ,,Laguna Beach,CA,Coastline of Heisler Park,949-497-6571,,,,,0
,,,,https://www.tripadvisor.com/Attractions-g48713-Activities-c20-t99-Syracuse_Finger_Lakes_New_York.html,,,Bars & Clubs in Syracuse,,,,,,,,,,,
,,"Wineries & Vineyards, Food & Drink",,https://www.tripadvisor.com/Attraction_Review-g48713-d3862588-Reviews-Lakeland_Winery-Syracuse_Finger_Lakes_New_York.html,"Make your very own custom wine at Lakeland Winery, your personal winemaking facility. We offer wine tasting, winemaking parties and classes, wines by the bottle, wine labels, and wedding wines. Learn how to make wine. We show you how. Our experienced staff of winemakers are ready to guide you in creating your very own handcrafted custom wine. Choose from dry reds, dry whites, mediums, fruit-based wines, ice wines, and dessert wines. Visit our winery in Syracuse, New York, the eastern gateway to the Finger Lakes wine region.",#29 of 55 things to do in Syracuse,Lakeland Winery,6 ,,Syracuse,NY,877 State Fair Blvd.,+1 315-277-2675,13209,,"Sun 12:00 pm - 4:00 pm , Sat 10:00 am - 5:00 pm , Mon - Fri 5:00 am - 7:00 pm , ",support@lakelandwinery.com,0
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60820-d281593-Reviews-Hidden_House-Vancouver_Washington.html,"Surround yourself in history as you dine heartily in this Victorian home-turned-restaurant, originally built by the wealthy Hidden family in 1885. Local history is reflected everywhere in this beautifully designed two-floor building.",#30 of 50 things to do in Vancouver,Hidden House,3 ,,Vancouver,WA,100 West 13th St,360-695-6198,,,"Sun - Sat 5:00 pm - 10:15 pm , Mon - Fri 11:30 am - 2:00 pm , ",,0
,,"Nature & Wildlife Areas, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g56691-d283952-Reviews-Sea_Turtle_Inc-South_Padre_Island_Texas.html,"Ila Loetscher, the ""Turtle Lady of South Padre Island"", originally formed our organization to save the Kemp's ridley sea turtle in 1977. Now we are a sea turtle hospital with a mission to rehabilitate and release any injured sea turtles, increase awareness concerning their safety and habitat, and assist with conservation efforts for all sea turtle species. We are funded by donations, grants and gift shop proceeds--,For rehabilitated sea turtle and hatchling release text message notifications, please see our website membership page. See you at Sea Turtle, Inc.!",#1 of 45 things to do in South Padre Island,"Sea Turtle, Inc.","1,476 ",,,TX,6617 Padre Blvd.,+1 956-761-4511,78597,,"Tue - Sun 10:00 am - 4:00 pm , ",megan.chilcutt@seaturtleinc.org,64
,,"Beaches, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g34705-d1371184-Reviews-Caspersen_Beach-Venice_Florida.html,,#1 of 50 things to do in Venice,Caspersen Beach,"1,014 ",,Venice,FL,end of Harbor Dr,,34285,,,,79
,,"History Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g60887-d3896119-Reviews-Springfield_African_American_Historical_Museum-Springfield_Illinois.html,"Nestled in the heart of the Lincoln tourism district, SAAHM preserves and tells the rich, the conflicting, the tragic, and the triumphant history of African-Americans in Springfield and the surrounding area. The museum is more than just the race riot that inspired the creation of the NAACP. One question is all you need, what happened under Lincoln's shadow and does this alter his legacy?",#50 of 50 things to do in Springfield,Springfield African American Historical Museum,,,Springfield,IL,5255 Shepherd Road,217-528-2725,62703,,,siaaf@yahoo.com,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g48713-d3595745-Reviews-Rarely_Done_Productions-Syracuse_Finger_Lakes_New_York.html,"Rarely Done Productions is a performing arts organization that offers alternative, original, and seldom-seen works. Often referred to as the ""Off-Broadway of Syracuse"", our mission is to engage and enlighten audiences interested in innovative art and entertainment through quality productions of theatre, dance, art and music.",#55 of 55 things to do in Syracuse,Rarely Done Productions,,,Syracuse,NY,441 E. Washington St.,315-546-3224,13202,,,tymarshal@gmail.com,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g48713-d734805-Reviews-Museum_of_International_Masks_and_Puppets-Syracuse_Finger_Lakes_New_York.html,,#31 of 55 things to do in Syracuse,Museum of International Masks and Puppets,4 ,,Syracuse,NY,518 Prospect Ave,(315) 476-0466,13208,,,info@openhandtheater.org,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g60820-d211677-Reviews-Jack_Murdock_Aviation_Center-Vancouver_Washington.html,"Dedicated to preserving the aviation history of Pearson Field, the oldest operating air field in the West, this center combines aviation history with interactive exhibits on the mechanics of flying, and allows visitors to watch old planes being restored.",#50 of 50 things to do in Vancouver,Jack Murdock Aviation Center,,,Vancouver,WA,Pearson Field,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60769-Activities-c20-t108-Ventura_California.html,,,Comedy Clubs in Ventura,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60769-Activities-c20-t105-Ventura_California.html,,,Karaoke Bars in Ventura,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60769-Activities-c20-t100-Ventura_California.html,,,Blues Clubs & Bars in Ventura,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c61-t244-Telluride_Colorado.html,,,Ski & Snow Tours in Telluride,,,,,,,,,,,
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g35241-d531867-Reviews-Coastal_Encounters_Nature_Center-Saint_Simons_Island_Golden_Isles_of_Georgia_Georgi.html,,#53 of 53 things to do in Saint Simons Island,Coastal Encounters Nature Center,,,,GA,,912-638-0221,31522,,,coastalkids@technonet.com,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c40-t129-Telluride_Colorado.html,,,Health/Fitness Clubs & Gyms in Telluride,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c61-t215-Telluride_Colorado.html,,,Climbing Tours in Telluride,,,,,,,,,,,
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g33667-d144385-Reviews-Adventure_Club-Telluride_Colorado.html,Center for children to learn to ski while their parents are out skiing Telluride.,#50 of 50 things to do in Telluride,Adventure Club,,,Telluride,CO,,,,,,,
,,"Bodies of Water, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g33667-d146480-Reviews-Sheep_Creek-Telluride_Colorado.html,,#49 of 50 things to do in Telluride,Sheep Creek,,,Telluride,CO,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c61-t219-Telluride_Colorado.html,,,Hiking & Camping Tours in Telluride,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c42-t228-Telluride_Colorado.html,,,Historical & Heritage Tours in Telluride,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c20-t108-Portsmouth_New_Hampshire.html,,,Comedy Clubs in Portsmouth,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33667-Activities-c56-t110-Telluride_Colorado.html,,,Game & Entertainment Centers in Telluride,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c61-t186-Portsmouth_New_Hampshire.html,,,Gear Rentals in Portsmouth,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c56-t261-Portsmouth_New_Hampshire.html,,,Other Fun & Games in Portsmouth,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c56-t208-Portsmouth_New_Hampshire.html,,,Room Escape Games in Portsmouth,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c56-t128-Portsmouth_New_Hampshire.html,,,Bowling Alleys in Portsmouth,,,,,,,,,,,
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g57119-d3902535-Reviews-St_George_Art_Museum-St_George_Utah.html,"The Mission of the St. George Art Museum is to educate all visitors through quality exhibitions from all periods, cultures, and media, as well as to collect, conserve, inventory, exhibit, and interpret art and artifacts from Utah and the West.",#30 of 54 things to do in St. George,St George Art Museum,12 ,,St. George,UT,47 East 200 North,+1 435-627-4525,84770,,,museum@sgcity.org,1
,,,,https://www.tripadvisor.com/Attractions-g57119-Activities-c59-t182-St_George_Utah.html,,,Taxis & Shuttles in St. George,,,,,,,,,,,
,,"Factory Outlets, Shopping",,https://www.tripadvisor.com/Attraction_Review-g57119-d4131101-Reviews-The_Outlets_at_Zion-St_George_Utah.html,,#27 of 54 things to do in St. George,The Outlets at Zion,24 ,,St. George,UT,250 North Red Cliffs Drive,435-674-9800,84790,,"Sun 12:00 pm - 6:00 pm , Mon - Sat 10:00 am - 9:00 pm , ",,4
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g57119-d207396-Reviews-Vernon_Worthen_Park-St_George_Utah.html,,#26 of 54 things to do in St. George,Vernon Worthen Park,12 ,,St. George,UT,,,,,"Mon - Fri 8:00 am - 5:00 pm , ",,0
,,,,https://www.tripadvisor.com/Attractions-g57119-Activities-c42-t204-St_George_Utah.html,,,Food Tours in St. George,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57119-Activities-c61-t60-St_George_Utah.html,,,Golf Courses in St. George,,,,,,,,,,,
,,"Sports Complexes, Fun & Games",,https://www.tripadvisor.com/Attraction_Review-g57119-d7023336-Reviews-Sand_Hollow_Aquatic_Center-St_George_Utah.html,,#24 of 54 things to do in St. George,Sand Hollow Aquatic Center,10 ,,St. George,UT,1144 Lava Flow Drive,,,," 6:30 pm - 9:00 pm , Fri 1:00 pm - 9:00 pm , Mon - Thu 1:00 pm - 5:00 pm , Sat 12:00 pm - 6:00 pm , ",,0
,,"Educational sites, Nature & Wildlife Areas, Nature & Parks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g57119-d5292173-Reviews-Tonaquint_Nature_Center-St_George_Utah.html,,#22 of 54 things to do in St. George,Tonaquint Nature Center,17 ,,St. George,UT,1851 South Dixie Drive,(435) 627-4590,84770,,,,1
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c61-t263-Portsmouth_New_Hampshire.html,,,Other Outdoor Activities in Portsmouth,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57119-Activities-c56-t208-St_George_Utah.html,,,Room Escape Games in St. George,,,,,,,,,,,
,,"Shopping Malls, Shopping",,https://www.tripadvisor.com/Attraction_Review-g57119-d7266559-Reviews-Red_Cliffs_Mall-St_George_Utah.html,,#31 of 54 things to do in St. George,Red Cliffs Mall,11 ,,St. George,UT,1770 East Red Cliffs Drive,(435) 673-0099,84790,,,,7
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g57119-d536252-Reviews-Daughters_of_Utah_Pioneer_Museum-St_George_Utah.html,,#20 of 54 things to do in St. George,Daughters of Utah Pioneer Museum,36 ,,St. George,UT,145 N. 100 East,435/628-7274,,,"Thu - Sat 12:30 pm - 4:00 pm , Mon - Tue 12:30 pm - 4:00 pm , ",,5
,,"Educational sites, Historic Sites, State Parks, Points of Interest & Landmarks, Nature & Parks, Sights & Landmarks, More",,https://www.tripadvisor.com/Attraction_Review-g57119-d7658240-Reviews-Petroglyph_Park_Bloomington-St_George_Utah.html,,#18 of 54 things to do in St. George,Petroglyph Park (Bloomington),21 ,,St. George,UT,1472 Navajo Drive,,84790,,,,3
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g57119-d3983632-Reviews-Rosenbruch_Wildlife_Museum-St_George_Utah.html,,#17 of 54 things to do in St. George,Rosenbruch Wildlife Museum,46 ,,St. George,UT,1835 S Convention Center Dr,(435) 656-0033,84790 ,,"Mon 10:00 am - 8:00 pm , Tue - Sat 10:00 am - 6:00 pm , ",,1
,,,,https://www.tripadvisor.com/Attractions-g46209-Activities-c20-t109-Portsmouth_New_Hampshire.html,,,Dance Clubs & Discos in Portsmouth,,,,,,,,,,,
,,"Churches & Cathedrals, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g49021-d4431581-Reviews-United_Church_of_Chapel_Hill-Chapel_Hill_North_Carolina.html,"We are a member church of the United Church of Christ.We invite people of every age, race, marital status, sexual orientation, means, ability and spiritual tradition to join us in the love of God and neighbor: through worship, dedication to education and commitment to service.We are an Open and Affirming congregation promoting marriage equality and invite members from the LGBT (lesbian, gay,bisexual and transgender) community to participate fully in the life and work of this church.",#30 of 37 things to do in Chapel Hill,United Church of Chapel Hill,1 ,,Chapel Hill,NC,1321 Martin Luther King Jr. Blvd,+(1)919-942-3540,27514,,"Sun 8:30 am - 12:30 pm , Mon - Fri 9:00 am - 5:00 pm , ",office@unitedchurch.org,0
,,,,https://www.tripadvisor.com/Attractions-g33450-Activities-c56-t208-Grand_Junction_Colorado.html,,,Room Escape Games in Grand Junction,,,,,,,,,,,
,,"Beaches, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g42310-d1846443-Reviews-Holland_State_Park_Beach-Holland_Ottawa_County_Michigan.html,,#1 of 44 things to do in Holland,Holland State Park Beach,675 ,,Holland,MI,2215 Ottawa Beach Rd,6163999390,49424,,"Sun - Sat 8:00 am - 10:00 pm , ",,34
,,"Beaches, State Parks, Outdoor Activities, Nature & Parks, More",,https://www.tripadvisor.com/Attraction_Review-g34028-d103510-Reviews-Cape_Henlopen_State_Park-Lewes_Delaware.html,This oceanside state park comprises 155 campsites and the Seaside Nature Center.,#1 of 46 things to do in Lewes,Cape Henlopen State Park,716 ,,Lewes,DE,42 Cape Henlopen Dr.,302-645-6852,19958,,"Sun 6:00 am - 10:00 pm , Mon - Thu 7:00 am - 10:00 pm , Fri - Sat 6:00 am - 12:00 am , ",,24
,,,,https://www.tripadvisor.com/Attractions-g33450-Activities-c61-t60-Grand_Junction_Colorado.html,,,Golf Courses in Grand Junction,,,,,,,,,,,
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g31418-d9869738-Reviews-Roxaboxen_Park-Yuma_Arizona.html,,#30 of 41 things to do in Yuma,Roxaboxen Park,2 ,,Yuma,AZ,825 S. Second Ave,,85364,,,,0
,,,,https://www.tripadvisor.com/Attractions-g34859-Activities-c58-t113-Columbus_Georgia.html,,,Concerts in Columbus,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34859-Activities-c61-t186-Columbus_Georgia.html,,,Gear Rentals in Columbus,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c56-t110-Stowe_Vermont.html,,,Game & Entertainment Centers in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33450-Activities-c20-t99-Grand_Junction_Colorado.html,,,Bars & Clubs in Grand Junction,,,,,,,,,,,
,,"Children's Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g43833-d2010240-Reviews-Mississippi_Children_s_Museum-Jackson_Mississippi.html,"The Mississippi Children's Museum is your Destination for Imagination. MCM wants to ignite the spark of creativity that is inside each and everyone of us and awaken a lifelong passion for learning, exploration and discovery. Visit the Mississippi Children's Museum and get inspired! Open Tuesday through Saturday 9a-5p and Sunday 1p-6p. Admission is $10 per person; children under the age of 1 year are free.",#1 of 52 things to do in Jackson,Mississippi Children's Museum,225 ,,Jackson,MS,2145 Museum Boulevard,+1 601-981-5469,39202,,"Sun 1:00 pm - 6:00 pm , Tue - Sat 9:00 am - 5:00 pm , ",info@mississippichildrensmuseum.com,10
,,,,https://www.tripadvisor.com/Attractions-g31418-Activities-c20-t101-Yuma_Arizona.html,,,Cigar Bars in Yuma,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g31418-Activities-c42-t183-Yuma_Arizona.html,,,Walking Tours in Yuma,,,,,,,,,,,
,,"Scenic Railroads, Tours",,https://www.tripadvisor.com/Attraction_Review-g31418-d269665-Reviews-Yuma_Valley_Railway-Yuma_Arizona.html,All aboard! Travel alongside the Colorado River on this 1922 diesel-powered train while listening to local folklore tales and the history of the region.,#39 of 41 things to do in Yuma,Yuma Valley Railway,8 ,,Yuma,AZ,100 North Second Avenue,928-782-9629,85364,,,,2
,,,,https://www.tripadvisor.com/Attractions-g34859-Activities-c40-t260-Columbus_Georgia.html,,,Yoga & Pilates in Columbus,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34859-Activities-c26-t144-Columbus_Georgia.html,,,Gift & Specialty Shops in Columbus,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g49021-Activities-c61-t60-Chapel_Hill_North_Carolina.html,,,Golf Courses in Chapel Hill,,,,,,,,,,,
,,"Historic Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g43833-d286803-Reviews-Hill_Holly_Building-Jackson_Mississippi.html,,#50 of 52 things to do in Jackson,Hill-Holly Building,,,Jackson,MS,300 N Farish Street,601-352-6923,,,,,
,,"Sacred & Religious Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g43833-d286795-Reviews-Old_Mt_Helm_Baptist_Church-Jackson_Mississippi.html,,#51 of 52 things to do in Jackson,Old Mt Helm Baptist Church,,,Jackson,MS,300 N Church Street,601-353-3981,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g43833-d109486-Reviews-Goldring_Woldenberg_Institute_of_Southern_Jewish_Life-Jackson_Mississippi.html,"This mission of this non-profit organization is to document and preserve the rich tradition of Jewish life in the South through public programs, exhibits, publications and historic preservation.",#52 of 52 things to do in Jackson,Goldring-Woldenberg Institute of Southern Jewish Life,,,Jackson,MS,4915 I-55 North,601-362-6357,39206,,,,
,,"Architectural Buildings, Sacred & Religious Sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g45212-d319138-Reviews-Cathedral_of_St_Helena-Helena_Montana.html,,#1 of 44 things to do in Helena,Cathedral of St. Helena,337 ,,Helena,MT,530 N. Ewing,406 442 5825,59601,,"Sun 7:00 am - 12:00 pm , Mon - Sat 7:00 am - 6:00 pm , ",,9
,,,,https://www.tripadvisor.com/Attractions-g34859-Activities-c56-t272-Columbus_Georgia.html,,,Paint & Pottery Studios in Columbus,,,,,,,,,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g43833-d563588-Reviews-Community_Children_s_Theater-Jackson_Mississippi.html,,#49 of 52 things to do in Jackson,Community Children's Theater,,,"Jackson,Jackson","MS,MS","1000 Monroe St,1000 Monroe St",601 354 1191,"39216,39216",,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g39214-d106553-Reviews-National_Corvette_Museum-Bowling_Green_Kentucky.html,"See over 70 Corvettes in periodic settings including a mid-century barbershop, service station and historic race track. Exhibit Hall features special displays that change regularly. For hands-on activities visit the KidZone, Pit Crew Challenge and numerous trivia kiosks, then try a Corvette on for size in the lobby. The Corvette Store offers apparel, collectibles, home and gift items. On-site 50's-inspired Corvette Cafe serves breakfast, lunch and snacks.,Please note that the museum is still OPEN despite the sinkhole in our Skydome building. The Skydome is the only portion of the Museum closed for tours, however guests are able to see into the Dome through our plexiglass window to catch a glimpse of the hole and on-going construction work.",#1 of 40 things to do in Bowling Green,National Corvette Museum,"1,376 ",,Bowling Green,KY,350 Corvette Drive,+1 800-538-3883,42101,,"Sun - Sat 8:00 am - 5:00 pm , ",katie@corvettemuseum.org,109
,,Nature & Parks,,https://www.tripadvisor.com/Attraction_Review-g39214-d7199453-Reviews-Fort_Webb_Park-Bowling_Green_Kentucky.html,,#30 of 40 things to do in Bowling Green,Fort Webb Park,2 ,,Bowling Green,KY,Bowling Green Country Club Drive,,,,,,1
